,Name,Price,Stores,Rating,Votes,Type,Connection,Colors,Switches
146,Logitech MX900 Performance Combo,178.73 ,10,0.0,0,Keyboard and Mouse Set,Bluetooth,0,
147,Natec Tetra Black/Grey,20.63 ,5,0.0,0,Keyboard and Mouse Set,USB,0,
148,Defender HB 520,5.54 ,6,0.0,0,Keyboard Only,USB,0,
149,Defender HB 260,7.17 ,6,0.0,0,Keyboard Only,USB,0,
150,HP C2710 Combo White,28.90 ,10,3.0,1,Keyboard and Mouse Set,USB,0,
151,Conceptum KBW02,16.49 ,19,0.0,0,Keyboard with Touchpad,USB,0,
152,Andowl Q-813,5.69 ,8,0.0,0,Keyboard Only,USB,0,
153,Marvo DKB002,5.80 ,7,0.0,0,Keyboard Only,USB,0,
154,Logitech Comfort Wave MK570,105.00 ,0,5.0,1,Keyboard and Mouse Set,USB,0,
155,Silicone Keyboard Μαύρο,8.80 ,5,0.0,0,Keyboard Only,USB,0,
156,Microsoft Bluetooth Desktop,51.55 ,3,0.0,0,Keyboard and Mouse Set,Bluetooth,0,
157,Σετ Ασύρματο Πληκτρολόγιο και Ασύρματο Οπτικό Ποντίκι SPM R175750,39.95 ,6,0.0,0,Keyboard and Mouse Set,Bluetooth / USB,0,
158,Gembird KPD-UT-01,6.74 ,8,0.0,0,Keyboard Only,USB,0,
159,Approx MK210,6.00 ,6,0.0,0,Keyboard Only,USB,0,
160,Havit XL-KB006,17.99 ,7,5.0,1,Keyboard with Touchpad,USB,0,
161,Approx KBVLV5,6.39 ,3,5.0,1,Keyboard Only,USB,0,
162,Natec Flameback,3.27 ,6,0.0,0,Keyboard Only,USB,0,
163,Powertech PT-189,14.89 ,0,4.7,3,Keyboard and Mouse Set,USB,0,
164,Esperanza EK116,5.55 ,9,4.0,2,Keyboard Only,USB,0,
165,NOD ValuePro Wireless W-KMS-102,14.90 ,16,2.0,1,Keyboard and Mouse Set,USB,0,
166,NOD W-KMS-101,14.90 ,0,4.3,3,Keyboard and Mouse Set,USB,0,
167,Q-812 Black,23.00 ,5,0.0,0,Keyboard Only,Bluetooth,0,
168,Trust Classicline Keyboard New,8.88 ,10,4.0,5,Keyboard Only,USB,0,
169,Microsoft Bluetooth Keyboard,46.06 ,3,0.0,0,Keyboard Only,Bluetooth,0,
170,Microsoft Type Cover 2 Purple,29.90 ,0,5.0,2,Keyboard with Touchpad,Dock,0,
171,Wesdar V2,7.20 ,6,0.0,0,Keyboard Only,USB,0,
172,Logitech MX KEYS for Mac,109.99 ,2,0.0,0,Keyboard Only,Bluetooth / USB,0,
173,uGo Askja K110,4.10 ,2,0.0,0,Keyboard Only,USB,0,
174,Omega OK05TGR,5.45 ,20,3.2,5,Keyboard Only,USB,0,
175,Media-Tech MT122K-US,8.05 ,5,0.0,0,Keyboard Only,PS/2,0,
176,uGo Askja K140,2.79 ,3,0.0,0,Keyboard Only,USB,0,
177,Alcatroz Jellybean U2000 White/Mint,11.04 ,7,4.0,1,Keyboard and Mouse Set,USB,5,
178,Microsoft Surface Go Signature Type Cover Ice Blue,113.00 ,4,0.0,0,Keyboard with Touchpad,Dock,2,
179,Alcatroz U2000 Black,11.04 ,8,4.0,1,Keyboard and Mouse Set,USB,5,
180,Natec Discus White,7.31 ,6,0.0,0,Keyboard Only,USB,2,
181,Alcatroz Jellybean U2000 White,11.04 ,9,4.0,1,Keyboard and Mouse Set,USB,5,
182,Alcatroz Xplorer Go BT100 Black,13.70 ,5,0.0,0,Keyboard Only,Bluetooth,2,
