,Name,Price,Stores,Rating,Votes,Switches,Colors
554,Lenovo Legion K200,31.91 ,4,0.0,0,Membrane,0
555,Das KeyBoard 4 Professional for Mac (Cherry MX Blue),149.68 ,2,0.0,0,Cherry MX Blue,0
556,Asus ROG Strix Scope,182.29 ,0,0.0,0,Key Lights,0
557,Marvo Combo KM400 & G1,28.52 ,5,3.5,2,Membrane,0
558,Sandberg Gaming Starter Kit,72.99 ,0,0.0,0,Membrane,0
559,Esperanza Shelter,21.90 ,0,4.0,1,Membrane,0
560,Nedis GKBD200BKUS,33.90 ,0,0.0,0,Membrane,0
561,Keep Out F115,89.90 ,3,0.0,0,Membrane,0
562,Xtrike Me GK-901,33.00 ,0,0.0,0,Membrane,0
563,Fury Hurricane Tkl Rainbow,11.87 ,3,0.0,0,Key Lights,0
564,Yenkee Hornet,39.90 ,3,0.0,0,Membrane,0
565,Roccat Ryos TKL Pro,159.20 ,0,5.0,1,Cherry MX Brown,0
566,Gamdias Hermes E2,39.00 ,0,0.0,0,Gamdias,0
567,Nacon CL-700OM,64.90 ,3,0.0,0,Kailh Blue,0
568,Gamdias Ares M1,24.90 ,2,0.0,0,Membrane,0
569,Tracer Battle Heroes Shinook X,14.85 ,0,0.0,0,Membrane,0
570,Redragon Kama K578,48.99 ,0,0.0,0,Custom Brown,0
571,Thermaltake Challenger Combo,38.80 ,2,0.0,0,Key Lights,0
572,Redragon Mitra K551,55.00 ,0,0.0,0,Custom Mechanical,0
573,Redragon Manyu K579RGB,56.00 ,0,0.0,0,Custom Blue,0
574,Natec RX85,69.99 ,0,0.0,0,Kailh Brown,0
575,Tacens MKHA0 Black,6.20 ,0,0.0,0,Full Size,0
576,Redragon Partryusa K570,56.33 ,0,0.0,0,Custom Blue,0
577,Patriot Viper V765 (Kailh Box White),116.51 ,0,0.0,0,Kailh Box White,0
578,Genesis Thor 300 (Outemu Blue),47.00 ,1,2.5,2,Outemu Blue,0
579,Spirit of Gamer Spirit Gamer PRO-K3,19.90 ,0,0.0,0,Membrane,0
580,Acer Nitro,45.00 ,0,0.0,0,Membrane,0
581,Genesis RHOD 600 RGB,40.80 ,1,4.0,1,Key Lights,0
582,Redragon K553-RGB,59.99 ,0,0.0,0,Custom Blue,0
583,A4Tech B130,23.50 ,3,0.0,0,Membrane,0
584,Thermaltake Challenger Edge Pro,57.80 ,0,0.0,0,Key Lights,0
585,Rebeltec Imperator,49.00 ,2,0.0,0,Outemu Blue,0
586,Rebeltec Discovery,14.49 ,8,3.0,2,Membrane,0
587,Weibo WB-710,27.80 ,0,0.0,0,Membrane,0
588,Mobilis KW18,20.00 ,0,0.0,0,Membrane,0
589,Hori Tactical Assault Commander Pro,179.95 ,0,3.8,5,Custom Mechanical,0
590,Armaggeddon MKA-7C Psychfalcon,64.50 ,3,3.8,4,Outemu Blue,0
591,Motospeed K95 (Outemu Brown),29.79 ,2,4.1,7,Outemu Brown,0
592,Genesis R33,19.90 ,0,4.0,7,Membrane,0
593,Rebeltec Defender,17.79 ,9,0.0,0,Membrane,0
594,Xtrike Me MK-501KIT,17.50 ,0,0.0,0,Membrane,0
595,FanTech Fighter K611L,23.80 ,0,0.0,0,Key Lights,0
596,Rebeltec Liberator,37.40 ,3,2.5,2,Outemu Blue,0
597,Das KeyBoard X50Q,138.78 ,0,0.0,0,Gamma Zulu,0
598,Acer Predator Aethon 500,169.00 ,0,0.0,0,Custom Blue,0
599,Cougar Attack X3 RGB,113.00 ,1,0.0,0,Custom Mechanical,0
600,NGS GKX-300,21.90 ,4,0.0,0,Key Lights,0
601,Tracer Oxin,16.80 ,6,0.0,0,Membrane,0
602,Redragon Combo Vajra & Centrophorus,27.50 ,3,3.7,3,Membrane,0
603,Sharkoon Skiller Pro,34.80 ,2,3.8,21,Membrane,0
604,Gembird KB-UMGL-01,15.50 ,4,3.8,5,Membrane,0
605,Sharkoon PureWriter TKL RGB (Kailh Red),69.99 ,2,5.0,1,Kailh Red,0
606,Gembird GGS-UMG4-01,40.00 ,0,3.5,11,Membrane,0
607,Corsair K68,169.90 ,0,0.0,0,Cherry MX Red,0
608,Rebeltec Warrior,7.00 ,9,3.0,1,Membrane,0
609,FanTech Zexter K610,24.80 ,0,0.0,0,Key Lights,0
610,Genius Scorpion K10,31.72 ,3,5.0,1,Membrane,0
611,Roccat Horde,89.80 ,1,0.0,0,Key Lights,0
612,Roccat Horde Aimo Black,96.80 ,0,0.0,0,Membrane,0
613,Aula Adjudication Expert,9.99 ,2,4.0,1,Membrane,0
614,Aula Mechanical Demon King,68.08 ,2,0.0,0,KRGD,0
615,Roccat Isku+ Illuminated,38.00 ,7,2.3,3,Membrane,0
616,FanTech Outlaw K12,23.50 ,24,3.7,3,Key Lights,0
617,Zornwee ZE-9800,8.99 ,2,0.0,0,Keyboard and Mouse Set,0
618,HAMA uRage Exodus Macro,22.90 ,4,0.0,0,Key Lights,0
619,Genesis Rhod 400,22.45 ,3,3.0,1,Membrane,0
620,Ravcore Blade,54.90 ,3,0.0,0,Membrane,0
621,HAMA Urage Exodus 2,23.90 ,4,0.0,0,Full Size,0
622,Rebeltec Legend,17.00 ,7,3.0,1,Membrane,0
623,SteelSeries APEX 300,86.70 ,2,5.0,1,Membrane,2
624,Asus Cerberus Mech RGB,129.00 ,2,0.0,0,Custom Mechanical,0
625,Trust Ziva,21.90 ,0,0.0,0,Full Size,0
626,Riotoro Ghostwriter Prism,115.00 ,0,0.0,0,Custom Mechanical,0
627,Riotoro Ghostwriter Classic,60.00 ,0,0.0,0,Membrane,0
628,Redragon Hara,60.00 ,0,0.0,0,Custom Blue,0
629,Spirit of Gamer Xpert K100,38.80 ,2,3.0,2,Membrane,0
630,Powertech PT-183,13.50 ,4,4.0,1,Membrane,0
631,Roccat Ryos MK Pro,189.60 ,0,4.0,5,Cherry MX Brown,0
632,Gigabyte Force K85,92.65 ,0,3.5,2,Custom Red,0
633,Zornwee V6,26.99 ,8,0.0,0,Membrane,0
634,Weibo WB-538,23.88 ,2,0.0,0,Membrane,0
635,Iogear Kaliber Hver,59.00 ,0,0.0,0,Membrane,0
636,FanTech K710,48.00 ,0,3.0,2,Membrane,0
637,Fury Hellfire illuminated,17.40 ,0,3.0,5,Key Lights,0
638,Media-Tech Cobra Pro Inferno,55.00 ,26,0.0,0,Cyan AX,0
639,Thermaltake ESPORTS Challenger Edge RGB,57.50 ,0,0.0,0,Key Lights,0
640,Tracer Hellway,27.90 ,0,0.0,0,Membrane,0
641,Ravcore Valravn,36.00 ,0,0.0,0,Membrane,0
642,Zornwee X6 Soldier,8.40 ,2,0.0,0,Membrane,0
643,Roccat Skeltr,106.56 ,4,0.0,0,Membrane,0
644,SpeedLink Ferus,15.90 ,3,3.0,1,Membrane,0
645,Keep Out F89PTE,27.60 ,2,0.0,0,Membrane,0
646,Trust GXT 830,25.40 ,0,3.3,6,Membrane,0
647,Redragon Indrah Black,99.00 ,0,0.0,0,Custom Blue,0
648,Redragon K506,28.80 ,2,0.0,0,Membrane,0
649,Sandberg Thunderstorm 640-02,49.90 ,3,0.0,0,Membrane,0
650,Armaggeddon MKA-9C Psychraptor (Kaily Red),82.00 ,0,0.0,0,Kailh Red,0
651,Media-Tech Cobra Pro MT1251,13.40 ,0,0.0,0,Membrane,0
652,Weibo FC-719,9.49 ,0,0.0,0,Membrane,0
653,Aula Be Fire,23.50 ,0,4.0,2,Membrane,0
654,Xtrike Me KB-301,7.99 ,9,1.0,1,Membrane,0
655,Zalman ZM-K600S,30.50 ,1,0.0,0,Membrane,0
656,Zalman ZM-K700M,113.90 ,1,0.0,0,Cherry MX Red,0
657,FanTech KR-6300,20.00 ,0,2.5,6,Membrane,0
658,E-More HK3800,14.83 ,2,3.3,8,Membrane,0
659,Ravcore Hybrid,34.50 ,4,2.3,3,Membrane,0
660,Azio MGK1,99.00 ,0,0.0,0,Kailh Blue,0
661,Roccat Vulcan 122 AIMO White,187.90 ,4,1.5,2,Titan Tactile,0
662,Genesis RX11,19.99 ,0,3.0,4,Membrane,0
663,Turtle Beach Impact 100,65.50 ,0,0.0,0,Membrane,0
664,Magic m100,35.80 ,0,0.0,0,Membrane,0
665,Keep Out F80,48.80 ,0,0.0,0,Membrane,0
666,Approx Bolt,16.00 ,2,0.0,0,Membrane,0
667,Keep Out F89CH,30.90 ,4,0.0,0,Membrane,0
668,Tracer Enduro,18.00 ,0,0.0,0,Full Size,0
669,Perixx PX-1200,73.34 ,8,0.0,0,Membrane,0
670,SteelSeries Apex Raw,82.00 ,2,5.0,1,Membrane,2
671,Roccat Isku FX,66.82 ,3,4.3,3,Membrane,2
672,Armaggeddon AK-700,35.00 ,0,0.0,0,Membrane,0
673,ZYG-900,15.70 ,5,1.0,1,Membrane,0
674,Sharkoon Shark Zone MK80,83.01 ,2,0.0,0,Kailh Red,0
